Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
2008-07-30 00:00:00+00:00,53.816184857799996,31.435490891399997,20.0843555713,48.2780661649,53.1063564113,58.657295626999996,17.6391477264,18.360686560799998,27.199711985500002,,61.14051166310001,162.2479369689,18.082092937,96.5278154415,15.838824777200001,49.085391576400006,32.6335768546,43.46119469600001,21.966399696,20.1673128757,12.9057605776,12.3023655782,47.678457181899994,33.9799511887,51.1489969999,23.7557607981,19.0125980247,18.114760548,44.9975914043,27.38408886
2008-07-31 00:00:00+00:00,53.129330324499996,31.0837885426,19.9675276336,46.228026063,51.2273331166,56.8423208597,17.4959340778,18.4286758504,26.066032799499997,,58.278399538500004,160.3916330223,18.1506434157,95.8686157086,15.8103248676,49.3665799242,31.895651373699998,42.9866804115,21.9197619047,19.7751920382,12.6895112381,12.1655278255,46.897782428599996,33.7200955116,49.3964200461,24.452410674899998,18.8465007793,16.8701645078,45.0436954938,27.5364454306
2008-08-01 00:00:00+00:00,52.948181876199996,31.142405600700002,19.6798545396,46.9088511891,50.210449921800006,56.674267640500005,17.4959340778,19.015530770599998,25.8341438751,,57.7639439414,158.6137644537,18.2039604546,94.864834297,15.9243245061,49.0998114917,31.997704897600002,42.972301190699994,22.1596134027,19.5599100098,12.8452107625,12.119915241300001,46.5181882825,33.6742386274,49.072154706599996,24.495951292199997,18.8243544799,16.563056394,44.375186195299996,27.2076759889
2008-08-04 00:00:00+00:00,52.646267795600004,30.8576941755,19.248973005899998,46.4171441536,49.6872708868,55.659226196599995,17.4959340778,19.2874879288,26.0832097568,,55.5032376557,155.0057370645,18.1963437348,95.5539976542,16.045449122,49.734287763599994,31.510988090999998,43.533090799700005,22.252888985300004,19.4368917078,12.9273855115,12.3675264129,47.1412956544,33.903523048400004,49.226566773,25.2187255394,18.7302327075,16.7408558283,44.8976992102,27.5364454306
2008-08-05 00:00:00+00:00,54.253960274499995,32.4236070142,20.1798278645,49.321998025,50.239924797,55.450840204799995,18.021050789500002,19.6489046785,26.8905267529,,56.7712620147,157.54181428729999,18.9580157203,96.5353063476,16.5014476761,50.7941515358,32.884785529,44.8128414458,23.119019394899997,20.1519355879,13.3166343225,12.843200505699999,48.681158699899996,34.270378122,50.6008341641,26.5162359349,19.1288660965,16.9948550202,46.365346061000004,28.4425660868
2008-08-06 00:00:00+00:00,54.201125310500004,31.8123148365,20.6257839708,49.7758814424,51.956836278100006,56.8423208597,19.0394589578,19.8099319432,26.9850000184,,56.7567703077,156.478579163,18.9656324402,97.127087926,16.3437448747,51.2411689092,32.4922719753,44.676238848800004,23.5187718916,20.7747157415,13.4485464196,12.869264839500001,48.5379156259,33.9799511887,51.3806150995,26.0024566508,18.9572322762,16.505329304900002,46.6880746879,28.7152041604
2008-08-07 00:00:00+00:00,53.7256106336,30.480870230300003,20.547898679,49.23550107810001,50.792578707299995,56.0827203089,18.7609879743,19.3268501491,26.555576084299997,,56.111889348000005,150.1863188368,18.6457302063,97.0443689753,16.9673877712,50.9383506885,31.2519291456,44.4749297584,23.238945143899997,21.0591955648,13.158772304700001,12.7235500549,48.3302131686,32.9405284803,49.983185898500004,25.3928880086,18.6582572345,16.0481307595,43.7681490162,28.2581344488
2008-08-08 00:00:00+00:00,55.4616165967,31.6615852585,21.299114880599998,51.64818523979999,52.2442163114,56.7347667994,19.2940609998,19.8278238615,27.508897218,,57.039358593500005,153.34116404190002,20.085290259,96.86389126469999,17.3688130839,51.5872468757,32.2410633009,47.214171309899996,23.9518370964,21.6281552113,13.6128959175,13.1408242108,49.870076214099996,33.9264514905,51.6199538025,26.9951827252,19.1510123958,16.7639466639,44.4597103595,29.3085929088
2008-08-11 00:00:00+00:00,56.140923278,32.8004309594,21.8028568486,50.70442235,52.1705291234,56.5196586788,19.588444610899998,19.8063535596,28.170210076500002,,56.9234249378,155.1277476525,20.9535963225,95.20199234620002,17.476337721300002,51.6665564096,32.884785529,47.4154804003,23.92518693,21.4513164022,13.682095706099998,13.167317808,49.726833140100005,33.735381139699996,51.897895522,27.2128858117,19.54410921,17.2696359641,44.9975914043,29.444911945500003
2008-08-12 00:00:00+00:00,55.5521908209,31.862558029200002,22.201076808299998,50.1792639678,52.914769722399996,56.1701079829,19.4929688452,19.6059640746,27.6205474409,,55.9912091763,145.8026527093,20.9307461629,94.1642455102,17.5766940494,51.695396240200004,29.768227912600004,45.9703687157,24.0984130119,21.620466567399998,13.429083979000001,13.0613434192,50.378589126899996,33.2615266697,51.3497326862,27.4131726512,19.2783536173,16.810128335199998,45.527788434099996,29.7496250866
2008-08-13 00:00:00+00:00,55.069128291999995,30.891189637300002,22.523923905,48.9082284631,51.4557633995,57.9716384927,19.3417988827,19.7562561883,27.2598313363,,56.9307078734,143.7110426286,20.1995410568,94.6003999775,17.289961683199998,51.334898358400004,28.9753505341,45.1363739126,23.811923722600003,21.4590050461,13.4009715649,13.0083562248,49.848589753,32.9558141084,51.2802472563,27.526378256199997,19.0181345995,17.0953001551,44.6575737438,29.5972685161
2008-08-14 00:00:00+00:00,55.129511108100004,31.988166010900002,22.5264363338,49.29638900649999,51.7947244644,58.2001908708,19.62822618,19.688266898800002,27.7665515785,,56.4063365076,145.18388472709998,20.6946278474,95.45766910290001,17.462001103,51.3276884008,29.6818749308,45.725921963000005,23.9451745548,21.4590050461,13.4074590451,13.101083815,49.9273734438,33.2615266697,51.2957632162,27.7702057131,19.2063781443,17.5230873226,44.82731573109999,29.7977376878
2008-08-15 00:00:00+00:00,55.4691644488,32.7166923049,22.0767115843,49.052837293,51.838936777200004,57.0708732378,19.819177711600002,19.702580433399998,27.9125557161,,56.1295849534,142.2120554041,20.9688297622,95.0215146356,17.3903180114,51.4286278077,29.8859819787,45.747490794099996,24.091750470300003,21.3821186074,13.4701713535,13.2269284017,51.2810204931,33.9799511887,51.82330585060001,28.7455155406,19.3558656652,17.5253996856,45.8071899304,29.8859441234
2008-08-18 00:00:00+00:00,54.6841878393,31.8123148365,22.0327440808,48.436347018199996,51.0062715525,56.3528302036,19.485012531400002,19.441358426199997,27.5518396114,,55.736306428999995,139.4755322152,20.5346767304,93.69049151979999,17.2111102825,51.255588824499995,28.8418959259,45.5030440415,23.7919360977,21.2898548809,13.331771776300002,13.0083562248,51.044669421,33.0398850627,51.070781798599995,27.9792006761,19.2340610185,17.3288488249,45.3905505071,29.855873747600004
2008-08-19 00:00:00+00:00,53.8237327098,30.7572077901,21.7990882054,47.911188636000006,50.615729456000004,57.3824768187,19.286104685999998,19.441358426199997,27.268419814899996,,56.7704832894,137.6976636466,19.7730047449,92.16395088430001,16.910041298,51.298848570299995,27.9312644813,44.906306380699995,23.4854591836,21.0899501403,13.1976971858,12.8096542458,50.6507509675,32.6501015471,50.3880795658,26.9690583548,18.9350859768,17.051365256900002,44.9044711799,29.2687296788
2008-08-20 00:00:00+00:00,53.73315848560001,31.343378371500002,22.0892737281,48.1090744033,50.6967853628,58.5679252242,19.2781483722,19.4485151935,27.3285391657,,57.3968157542,137.9155396967,19.7806214647,92.12635136120001,16.7666751149,51.2483788668,29.0460029738,44.8847375496,23.2789203936,21.066791337,13.1176849302,12.76991385,50.3499405121,32.7723865716,50.2329199674,26.333365342199997,19.073500348,17.2432913914,45.0279198979,28.818317790300004
2008-08-21 00:00:00+00:00,53.9003857436,30.991676022600004,21.8945604986,48.3678480988,50.62309817479999,59.96336734729999,19.2781483722,19.1479309661,27.3371276444,,58.518387842299994,136.32068701010002,20.2376246561,92.4873067825,16.5229526036,51.3925780195,28.465082914299998,44.7984622251,23.1989698942,20.9818757252,13.102547476500002,12.829524443699999,50.0634543641,32.6653871751,49.813989051899995,26.385614083000004,19.1399392461,17.1993564932,45.135937526099994,29.140040567800003
2008-08-22 00:00:00+00:00,54.94175548649999,32.4822240724,22.2086140946,49.890046308100004,51.7799870268,59.67885973,19.660051435299998,19.4556719608,27.6549013556,,58.4819731641,139.27508624909999,20.6489275283,93.94616827649999,16.838358206400002,51.825175477600006,29.5719711358,45.5965089763,23.498784266799998,21.4913693962,13.214997132999999,13.0812136171,51.2881826468,33.865308978200005,51.18715149729999,26.6555659102,19.5385726351,17.1322979642,45.8611987445,29.3330742343
2008-08-25 00:00:00+00:00,53.7635634416,31.6615852585,21.6759791958,48.763619633199994,50.519936111599996,57.9243960898,19.2622357446,19.169401267999998,27.139592634699998,,57.3239863978,135.7019190279,20.2300079362,92.3895480225,16.4656061303,51.3752789669,28.3630293904,44.6331011865,23.3188956433,21.3524165769,12.9122480578,12.922252033900001,50.2281838992,33.4678826485,50.3958375457,25.523509860500003,19.0790369228,16.954246008,45.1745152505,28.6011549156
2008-08-26 00:00:00+00:00,53.7559622026,31.862558029200002,21.812906563600002,48.2993491794,50.6083607372,58.1140678347,19.1826726064,19.1515093497,27.2340659002,,58.227070416800004,135.876219868,20.5803770496,92.11883145659999,16.5946356951,51.309971408900005,28.7398424019,44.6690492384,23.598722391,21.0513521349,12.7414110796,12.76991385,50.020481441899996,33.0475278767,50.3415316863,25.654131712399998,18.9572322762,16.9588707342,45.52171477,28.6172410544
2008-08-27 00:00:00+00:00,53.7559622026,32.5073456687,21.9422966452,49.106114230299994,51.2568079918,58.6763090784,19.3895367656,19.2481257086,27.2770082936,,58.6057830699,135.50147306190001,20.6946278474,92.7805830622,16.7810117332,51.672791175600004,29.1559067688,44.6331011865,23.805261181,21.2752205661,12.9035980842,12.637445864000002,50.178048823299996,33.345597624,50.465659365,25.628007341999997,19.217451294,17.2155430346,45.745465571400004,28.3759489713
2008-08-28 00:00:00+00:00,55.1089827445,33.822042544,21.8254687075,50.491314600699994,52.818976378,59.055652568199996,19.620269866199997,19.0083740033,27.9898520242,,59.122871500100004,141.03552473370002,20.8850458438,93.6829716152,16.910041298,51.817919082299994,30.5218539357,45.4850700156,24.251651469000002,21.568565406999998,13.2387845603,12.7632904507,50.8584534248,34.048736515,51.7612420112,26.17661912,19.6382309824,17.4930266027,46.2006827191,29.373289581399998
2008-08-29 00:00:00+00:00,54.424871234499996,33.2274980972,21.296602451800002,49.8976572991,52.1189480917,58.473089351800006,19.1349347235,18.632643719,27.783728535799998,,58.2707680306,142.9005437224,20.656544248099998,91.5397988018,16.3939230388,51.1067923395,30.2156933638,44.8775416516,23.765285931300003,21.066791337,13.1068724632,12.657316061900001,49.970346366,33.7506667677,50.8845902805,26.5162359349,19.4444508627,17.550835679400002,45.5757235841,29.300901956500002
2008-09-02 00:00:00+00:00,54.060011762600006,34.0230153148,20.8770268476,50.1335980215,50.9031094893,56.4205701125,18.8962453091,18.593281498699998,27.861024844,,56.3116583443,144.0770743928,21.5515088311,89.0431904717,16.186042073299998,52.050123733,30.6082069175,45.499534976599996,23.2056324359,20.9201189166,13.2301345867,12.6970564577,50.471697125,34.0334508869,51.3267951358,25.4973854901,19.8375476769,17.3404106403,46.02322518689999,28.955049970700003
2008-09-03 00:00:00+00:00,53.8395758316,34.2574835473,20.9737553551,50.2858178425,49.908332450900005,57.023455301599995,18.5461675013,18.4859299889,27.9211441948,,56.8214638389,146.0728190114,22.51890823,88.99055113940001,15.440537921099999,51.890483035600006,31.173426434899998,44.6388697943,23.3522083513,20.7657268951,13.3879966045,12.7169266556,51.15210172649999,34.0640221431,52.3043006055,25.8457104285,19.7655722039,16.8918122052,46.131242815200004,28.8907054153
2008-09-04 00:00:00+00:00,53.0110407807,32.4487286106,20.252688298699997,47.9720765644,47.1155880247,55.018353998500004,17.7266671784,18.5038219072,27.088061762600002,,55.4522719391,140.2250258274,21.9353974815,86.4789030001,14.7093703872,51.12130513020001,29.7603776415,43.4093481052,23.0154300365,20.3411488359,12.968472885999999,12.3658864927,50.4502106639,32.627173105,50.3337737064,24.434994428000003,18.940622551700002,16.3021596231,46.123527270299995,28.102484610500003
2008-09-05 00:00:00+00:00,52.592972635699994,32.9930298647,20.1220420028,47.865522689799995,47.211381369099996,54.3409549096,17.7107545508,18.5825463477,26.933469146300002,,55.073559286000005,142.2643456561,21.9507530275,85.9750693913,14.7738851696,51.2809458275,31.087073453000002,43.611857559899995,23.1029923983,19.8007767605,12.7687575352,12.259912103900001,50.6937238897,33.0780991329,49.713135313,24.1302101069,18.8686470786,16.5935173696,46.864219578400004,27.8209771802
2008-09-08 00:00:00+00:00,54.105619196599996,33.9309027948,19.838137552,48.6418437765,47.58718602810001,54.9031961534,18.5939053842,19.1014119785,28.273271820700003,,55.9110968843,147.9204079161,23.1561633896,88.2009611555,15.031944299200001,52.4056871043,32.6178763125,45.1451434309,23.8977892214,20.1635980111,13.096551208800001,12.677186259800001,51.832506328,34.3926631465,51.031991899,25.3928880086,19.4444508627,16.2096651004,47.836378232799994,28.955049970700003
2008-09-09 00:00:00+00:00,52.7906048497,32.021661472699996,19.054259776400002,48.725564678000005,45.229196011199996,53.3722742125,18.275652831600002,19.2803311615,27.8524363653,,53.354786475699996,140.8960840617,22.3807083159,86.5089826185,14.5731725133,51.767124314899995,30.985019929099998,45.7020444313,23.1299346635,20.148158809,13.085697113599998,12.0810803228,51.488722950399996,33.4539819599,49.73640925270001,24.8007356133,19.5053531861,15.6061383399,47.1651258286,28.3357336242
2008-09-10 00:00:00+00:00,52.2053094468,31.954670549099998,19.0454662757,46.9674257463,46.290291518800004,54.9777100532,18.2915654592,19.2552824759,28.1444446405,,54.8040906674,137.3403469245,22.3423194509,88.76495400110001,14.4513112576,51.6873039662,30.930068031599998,45.7092769118,22.5776182272,20.4106252456,12.996693533399998,12.0545867256,51.846830635399996,34.0079577422,49.1235288392,25.523509860500003,19.222987868900002,15.964554615299999,47.851809322600005,28.7539732348
